Date,Time,Gemini,GeminiAPY,Spedn,SpednAPY,Bitcoin,BitcoinAPY,Bitcoincash,BitcoincashAPY,Cardano,CardanoAPY,Celo,CeloAPY,Dogecoin,DogecoinAPY,Ethereum,EthereumAPY,Lightning,LightningAPY,Litecoin,LitecoinAPY,Polygon,PolygonAPY,Solana,SolanaAPY,Tezos,TezosAPY,Zcash,ZcashAPY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/28/22,00:03,"14,304,930,504",1.95% ,"2,992,986,652",4.58% ,"570,128,431",14.08% ,"235,475,649",11.62% ,"196,277,050",13.94% ,"181,047,846",15.12% ,"230,292,860",11.99% ,"576,069,198",13.93% ,"6,539,474,649",7.28% ,"212,055,087",12.9% ,"483,411,309",13.59% ,"515,448,718",12.74% ,"235,787,827",11.76% ,"242,343,814",11.29% 
04/28/22,00:30,"14,304,947,266",1.95% ,"2,992,993,119",4.58% ,"570,381,351",14.07% ,"235,477,103",11.62% ,"196,278,434",13.94% ,"181,049,276",15.12% ,"230,294,325",11.99% ,"576,098,575",13.93% ,"6,539,608,748",7.28% ,"212,056,610",12.9% ,"483,414,769",13.59% ,"515,452,193",12.74% ,"235,789,404",11.76% ,"242,345,465",11.29% 
04/28/22,00:43,"14,304,954,835",1.95% ,"2,992,996,745",4.58% ,"570,750,780",14.06% ,"235,478,007",11.62% ,"196,279,107",13.94% ,"181,050,048",15.12% ,"230,295,050",11.99% ,"576,151,441",13.93% ,"6,538,316,150",7.28% ,"212,057,332",12.9% ,"483,417,082",13.59% ,"516,759,628",12.71% ,"235,790,222",11.76% ,"242,346,145",11.29% 
04/28/22,08:26,"14,296,540,353",1.95% ,"2,981,338,381",4.59% ,"626,074,663",12.82% ,"235,502,220",11.62% ,"196,910,424",13.9% ,"199,794,604",13.7% ,"196,961,458",14.04% ,"587,972,410",13.65% ,"6,529,055,371",7.28% ,"212,787,446",12.86% ,"484,146,804",13.57% ,"519,314,852",12.65% ,"236,210,619",11.74% ,"242,062,813",11.3% 
04/28/22,08:44,"14,236,546,877",1.95% ,"2,981,341,407",4.59% ,"626,121,983",12.82% ,"235,503,020",11.62% ,"196,911,381",13.9% ,"202,796,417",13.49% ,"258,962,544",10.65% ,"588,458,721",13.64% ,"6,526,543,489",7.46% ,"212,788,329",12.86% ,"483,972,826",13.57% ,"519,316,848",12.65% ,"233,234,792",11.73% ,"242,063,426",11.3% 
04/28/22,14:14,"14,236,589,961",1.95% ,"2,981,368,269",4.59% ,"928,095,841",8.67% ,"235,520,694",11.62% ,"247,725,202",11.05% ,"327,977,685",8.35% ,"256,912,060",10.65% ,"904,534,020",8.87% ,"6,143,998,748",7.74% ,"269,258,037",10.16% ,"590,526,954",11.12% ,"576,479,641",11.39% ,"233,252,185",11.73% ,"292,263,586",9.36% 
04/28/22,14:25,"14,236,598,380",1.95% ,"2,981,371,894",4.59% ,"928,098,336",8.67% ,"235,521,404",11.62% ,"247,726,015",11.05% ,"327,978,446",8.35% ,"256,912,665",10.65% ,"904,535,821",8.87% ,"6,144,013,515",7.74% ,"269,258,892",10.16% ,"590,528,471",11.12% ,"576,481,151",11.39% ,"306,760,725",8.92% ,"292,264,228",9.36% 
04/28/22,14:31,"14,236,598,380",1.95% ,"2,981,371,894",4.59% ,"928,098,336",8.67% ,"235,521,404",11.62% ,"247,726,015",11.05% ,"327,978,446",8.35% ,"256,912,665",10.65% ,"904,535,821",8.87% ,"6,144,013,515",7.74% ,"269,258,892",10.16% ,"590,528,471",11.12% ,"576,481,151",11.39% ,"306,760,725",8.92% ,"292,264,228",9.36% 
04/28/22,14:44,"14,236,605,159",1.95% ,"2,981,376,135",4.59% ,"928,100,545",8.67% ,"235,521,995",11.62% ,"247,726,941",11.05% ,"327,979,173",8.35% ,"256,913,290",10.65% ,"904,538,055",8.87% ,"6,144,028,410",7.74% ,"269,259,702",10.16% ,"590,530,507",11.12% ,"576,482,793",11.39% ,"306,761,480",8.92% ,"292,264,822",9.36% 
04/28/22,14:59,"14,236,612,334",1.95% ,"2,981,380,842",4.59% ,"928,102,866",8.67% ,"235,522,804",11.62% ,"247,727,723",11.05% ,"327,979,891",8.35% ,"256,913,938",10.65% ,"904,540,381",8.87% ,"6,144,049,877",7.74% ,"269,260,565",10.16% ,"590,532,325",11.12% ,"576,484,531",11.39% ,"306,762,073",8.92% ,"292,265,629",9.36% 
04/28/22,15:08,"14,236,586,749",1.95% ,"2,981,385,421",4.59% ,"928,105,434",8.67% ,"235,523,649",11.62% ,"247,728,599",11.05% ,"327,980,620",8.35% ,"256,914,715",10.65% ,"904,543,177",8.87% ,"6,144,062,549",7.74% ,"269,261,354",10.16% ,"590,566,686",11.12% ,"577,060,965",11.39% ,"306,762,993",8.92% ,"292,266,495",9.36% 
04/28/22,15:39,"14,232,233,399",1.95% ,"2,981,393,777",4.59% ,"930,753,874",8.65% ,"235,525,161",11.62% ,"247,730,355",11.05% ,"327,982,269",8.35% ,"256,916,539",10.65% ,"904,546,706",8.87% ,"6,144,096,967",7.74% ,"269,262,522",10.16% ,"590,569,703",11.12% ,"578,791,848",11.35% ,"306,764,682",8.92% ,"292,267,804",9.36% 
04/28/22,15:50,"14,232,233,399",1.95% ,"2,981,393,777",4.59% ,"930,753,874",8.65% ,"235,525,161",11.62% ,"247,730,355",11.05% ,"327,982,269",8.35% ,"256,916,539",10.65% ,"904,546,706",8.87% ,"6,144,089,421",7.74% ,"269,262,522",10.16% ,"590,571,653",11.12% ,"578,791,848",11.46% ,"306,765,532",8.92% ,"292,268,661",9.36% 
04/28/22,16:17,"14,232,247,883",1.95% ,"2,981,400,623",4.59% ,"933,823,028",8.59% ,"235,526,707",11.62% ,"247,731,767",11.05% ,"327,983,950",8.35% ,"256,918,196",10.65% ,"904,550,112",8.87% ,"6,144,120,078",7.8% ,"269,264,036",10.16% ,"590,573,388",11.12% ,"575,824,634",11.4% ,"306,672,362",8.92% ,"292,269,419",9.36% 
04/28/22,16:21,"14,232,247,883",1.95% ,"2,981,400,623",4.59% ,"933,823,028",8.59% ,"235,526,707",11.62% ,"247,732,169",11.05% ,"327,983,950",8.35% ,"256,918,957",10.65% ,"904,552,415",8.87% ,"6,144,135,098",7.8% ,"269,264,860",10.16% ,"590,989,393",11.11% ,"575,826,533",11.45% ,"306,672,934",8.92% ,"292,270,277",9.36% 
